Mitocheck_Phenotypic_Class,Metadata_is_control,Cell_UUID,Location_Center_X,Location_Center_Y,Metadata_Plate,Metadata_Well,Metadata_Frame,Metadata_Site,Metadata_Plate_Map_Name,Metadata_DNA,Metadata_Gene,Metadata_Gene_Replicate,average_precision,p_value,n_pos_pairs,n_total_pairs,shuffled
neg_control,1,c9e6a42c-3645-47fd-8390-4de5506234e1,129,835,LT0150_02,26,39,1,LT0150_02_26,LT0150_02/LT0150_02_26_39.tif,negative control,1,1.0,1.0,6683,6683,True
neg_control,1,b3a93e43-2cdd-49b4-974b-1c29bae301c3,607,572,LT0066_02,74,50,1,LT0066_02_74,LT0066_02/LT0066_02_74_50.tif,negative control,1,1.0,1.0,6577,6577,True
neg_control,1,04534c78-9553-4179-8217-316a455047c4,1249,25,LT0016_15,26,33,1,LT0016_15_26,LT0016_15/LT0016_15_26_33.tif,negative control,1,1.0,1.0,6677,6677,True
Elongated,1,e8856a83-9497-4915-add9-178cad6d7794,107,148,LT0023_11,63,53,1,LT0023_11_63,LT0023_11/LT0023_11_63_53.tif,negative control,1,0.7219837292078384,1.0,100,126,True
neg_control,1,cfb54b90-2a21-4937-8139-76f1cdc097d2,1258,412,LT0136_44,352,46,1,LT0136_44_352,LT0136_44/LT0136_44_352_46.tif,negative control,1,1.0,1.0,6888,6888,True
neg_control,1,4833d012-6357-4b8a-95cb-2f29b765e0c0,240,884,LT0106_43,352,55,1,LT0106_43_352,LT0106_43/LT0106_43_352_55.tif,negative control,1,1.0,1.0,6884,6884,True
neg_control,1,b2aebe7b-64b6-4248-9d5e-20ce54b3a6b7,1154,243,LT0601_04,15,48,1,LT0601_04_15,LT0601_04/LT0601_04_15_48.tif,negative control,1,1.0,1.0,6658,6658,True
neg_control,1,f9d0432b-e423-4488-8ed7-fc408a9f641e,82,887,LT0022_46,15,34,1,LT0022_46_15,LT0022_46/LT0022_46_15_34.tif,negative control,1,1.0,1.0,6672,6672,True
neg_control,1,1738fb85-84f2-4acf-af27-e182f02ba6de,596,345,LT0076_16,63,48,1,LT0076_16_63,LT0076_16/LT0076_16_63_48.tif,negative control,1,1.0,1.0,6752,6752,True
neg_control,1,cafdb923-ad6b-4b73-b151-5046d9d92f88,1023,293,LT0602_05,352,62,1,LT0602_05_352,LT0602_05/LT0602_05_352_62.tif,negative control,1,1.0,1.0,6866,6866,True
neg_control,1,f8853b21-17e5-46c2-9183-f86b4966a766,1191,961,LT0127_33,15,38,1,LT0127_33_15,LT0127_33/LT0127_33_15_38.tif,negative control,1,1.0,1.0,6668,6668,True
neg_control,1,89a21138-3b6d-4984-b939-24b69b023702,959,1003,LT0016_15,74,55,1,LT0016_15_74,LT0016_15/LT0016_15_74_55.tif,negative control,1,1.0,1.0,6578,6578,True
neg_control,1,f3991a08-d2c9-4dff-aac3-50135026219f,876,462,LT0009_07,26,53,1,LT0009_07_26,LT0009_07/LT0009_07_26_53.tif,negative control,1,1.0,1.0,6683,6683,True
neg_control,1,4ece48b5-c16a-4d03-84e5-4cd29a38bd79,1309,327,LT0602_04,15,38,1,LT0602_04_15,LT0602_04/LT0602_04_15_38.tif,negative control,1,0.9999661167622915,0.21782178,6666,6667,True
neg_control,1,727e335d-e60c-4dea-b6e3-b5948fd98bbc,1190,691,LT0113_01,74,52,1,LT0113_01_74,LT0113_01/LT0113_01_74_52.tif,negative control,1,0.9997230781467779,0.63366336,6585,6587,True
neg_control,1,65d17dca-fad8-4d00-8e5f-cc202714cc74,162,486,LT0153_08,15,37,1,LT0153_08_15,LT0153_08/LT0153_08_15_37.tif,negative control,1,0.999836476847042,0.62376237,6670,6671,True
Elongated,1,f150ddff-754a-4589-9134-995a361d13f3,1098,471,LT0008_31,15,58,1,LT0008_31_15,LT0008_31/LT0008_31_15_58.tif,negative control,1,0.9562465134297079,0.03960396,98,108,True
neg_control,1,da2627a8-1a23-4c50-a1d2-8a83537d5588,414,531,LT0133_19,74,44,1,LT0133_19_74,LT0133_19/LT0133_19_74_44.tif,negative control,1,1.0,1.0,6584,6584,True
neg_control,1,b1858836-d302-4964-ae16-91564e2127a4,190,876,LT0131_47,304,45,1,LT0131_47_304,LT0131_47/LT0131_47_304_45.tif,negative control,1,1.0,1.0,7047,7047,True
