Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9705661094451438,3.0004340770450244,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Anaphase,0.9617994597518288,2.997567124705367,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Apoptosis,0.93014249533355,2.998468559761115,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Binuclear,0.768300727359247,2.8275008392489553,0.0016859970991951222,2.7731431769263626,True,True,non-shuffled,DP
Elongated,0.9703572262859619,2.989414325599708,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Folded,0.85272594566594,2.864332011553775,0.0016595443923113982,2.780011125853739,True,True,non-shuffled,DP
Grape,0.9425280738652595,2.9427983539272806,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Hole,0.8568678853158747,3.0004340770450244,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Interphase,0.5843643394894145,2.2685858022173973,0.005724573509080577,2.242256863495048,True,True,non-shuffled,DP
Large,0.9504819618419097,2.997162771697724,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Metaphase,0.9683098082564416,3.000434077045024,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
MetaphaseAlignment,0.9445185673933799,3.000434077045024,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
OutOfFocus,0.9384375863286155,3.000434077045025,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Polylobed,0.8725536912334046,2.960864417658849,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
Prometaphase,0.8724879616207302,2.920148296890804,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
SmallIrregular,0.9321838898403516,3.0004340770450244,0.0015716551941812088,2.803642727819367,True,True,non-shuffled,DP
neg_control,0.6203985661680064,1.854566336817492,0.013977633960148495,1.854566336817492,True,True,non-shuffled,DP
