Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.5115466978727637,0.4683335353451244,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Anaphase,0.5141007945319717,0.4764084885196848,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Apoptosis,0.5038640103953254,0.3783879435384838,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Binuclear,0.5086152266422719,0.5054347522635738,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Elongated,0.5114292152766047,0.46119151950171305,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Folded,0.5144951625752928,0.4139455924163863,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Grape,0.5152173592571284,0.44266005640338074,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Hole,0.5102995508500434,0.47567844867698406,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Interphase,0.50368740750198,0.4421728880816298,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Large,0.5109996966557778,0.43089982292080387,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Metaphase,0.5067011254372602,0.36208115495802945,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
MetaphaseAlignment,0.5073956290981697,0.46121250533257185,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
OutOfFocus,0.5052626547326988,0.4714418992955202,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Polylobed,0.5050600471377032,0.47651817912899064,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
Prometaphase,0.5043492264312814,0.5105032582555636,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
SmallIrregular,0.5065075767947308,0.43664563436514003,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
neg_control,0.505399625781876,0.43454301260314815,0.43442903648445835,0.36208115495802945,False,False,phenotypes_shuffled,CP
