Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9208505905051656,3.0004340770450244,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Anaphase,0.9198675711872298,2.9862225720519517,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Apoptosis,0.9327923229716948,2.9949891447804227,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Binuclear,0.6854851827816055,2.6674140684817944,0.0024936166861814647,2.603170304614643,True,True,non-shuffled,CP_DP
Elongated,0.870207828377834,2.9883273340498064,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Folded,0.7488075296070219,2.6575279669372356,0.0024936166861814647,2.603170304614643,True,True,non-shuffled,CP_DP
Grape,0.9490890560687227,2.999620482462149,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Hole,0.7851905080262652,2.75520473745324,0.002297739719233104,2.6386991683818026,True,True,non-shuffled,CP_DP
Interphase,0.5636097550259827,1.9758679706554332,0.011232100173707226,1.949539031933084,True,True,non-shuffled,CP_DP
Large,0.8504231666912103,2.8999513070438483,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Metaphase,0.8890455894336571,2.95158085659255,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
MetaphaseAlignment,0.91796630424774,2.9950912411195745,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
OutOfFocus,0.976846487906548,3.000434077045025,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Polylobed,0.8030407541137362,2.9198560297847047,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
Prometaphase,0.9192275254514833,2.98115344721572,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
SmallIrregular,0.8644755721643819,2.990373695213588,0.0017836776408550175,2.7486836317131993,True,True,non-shuffled,CP_DP
neg_control,0.5834720193139651,1.6453599774686194,0.022627679697789654,1.6453599774686194,True,True,non-shuffled,CP_DP
